Acc Treino: 0.4854, Acc Val: 0.4910, Hiddem Dim: 32, Batch size: 16, Lr: 0.001
Acc Treino: 0.5456, Acc Val: 0.5451, Hiddem Dim: 32, Batch size: 16, Lr: 0.005
Acc Treino: 0.5519, Acc Val: 0.5443, Hiddem Dim: 32, Batch size: 16, Lr: 0.01
Acc Treino: 0.4538, Acc Val: 0.4377, Hiddem Dim: 32, Batch size: 16, Lr: 0.05
Acc Treino: 0.4824, Acc Val: 0.4944, Hiddem Dim: 32, Batch size: 32, Lr: 0.001
Acc Treino: 0.5473, Acc Val: 0.5460, Hiddem Dim: 32, Batch size: 32, Lr: 0.005
Acc Treino: 0.5552, Acc Val: 0.5494, Hiddem Dim: 32, Batch size: 32, Lr: 0.01
Acc Treino: 0.5102, Acc Val: 0.5193, Hiddem Dim: 32, Batch size: 32, Lr: 0.05
Acc Treino: 0.4133, Acc Val: 0.4119, Hiddem Dim: 32, Batch size: 64, Lr: 0.001
Acc Treino: 0.5427, Acc Val: 0.5555, Hiddem Dim: 32, Batch size: 64, Lr: 0.005
Acc Treino: 0.5469, Acc Val: 0.5340, Hiddem Dim: 32, Batch size: 64, Lr: 0.01
Acc Treino: 0.4968, Acc Val: 0.4944, Hiddem Dim: 32, Batch size: 64, Lr: 0.05
Acc Treino: 0.5364, Acc Val: 0.5443, Hiddem Dim: 64, Batch size: 16, Lr: 0.001
Acc Treino: 0.5714, Acc Val: 0.5477, Hiddem Dim: 64, Batch size: 16, Lr: 0.005
Acc Treino: 0.5627, Acc Val: 0.5856, Hiddem Dim: 64, Batch size: 16, Lr: 0.01
Acc Treino: 0.4739, Acc Val: 0.4703, Hiddem Dim: 64, Batch size: 16, Lr: 0.05
Acc Treino: 0.5025, Acc Val: 0.5254, Hiddem Dim: 64, Batch size: 32, Lr: 0.001
Acc Treino: 0.5758, Acc Val: 0.5580, Hiddem Dim: 64, Batch size: 32, Lr: 0.005
Acc Treino: 0.5742, Acc Val: 0.5701, Hiddem Dim: 64, Batch size: 32, Lr: 0.01
Acc Treino: 0.5137, Acc Val: 0.5322, Hiddem Dim: 64, Batch size: 32, Lr: 0.05
Acc Treino: 0.4935, Acc Val: 0.4755, Hiddem Dim: 64, Batch size: 64, Lr: 0.001
Acc Treino: 0.5585, Acc Val: 0.5804, Hiddem Dim: 64, Batch size: 64, Lr: 0.005
Acc Treino: 0.5439, Acc Val: 0.5340, Hiddem Dim: 64, Batch size: 64, Lr: 0.01
Acc Treino: 0.4568, Acc Val: 0.4411, Hiddem Dim: 64, Batch size: 64, Lr: 0.05
Acc Treino: 0.5587, Acc Val: 0.5684, Hiddem Dim: 128, Batch size: 16, Lr: 0.001
Acc Treino: 0.5832, Acc Val: 0.5692, Hiddem Dim: 128, Batch size: 16, Lr: 0.005
Acc Treino: 0.6014, Acc Val: 0.5606, Hiddem Dim: 128, Batch size: 16, Lr: 0.01
Acc Treino: 0.5266, Acc Val: 0.4686, Hiddem Dim: 128, Batch size: 16, Lr: 0.05
Acc Treino: 0.5303, Acc Val: 0.5443, Hiddem Dim: 128, Batch size: 32, Lr: 0.001
Acc Treino: 0.5819, Acc Val: 0.5632, Hiddem Dim: 128, Batch size: 32, Lr: 0.005
Acc Treino: 0.5808, Acc Val: 0.5503, Hiddem Dim: 128, Batch size: 32, Lr: 0.01
Acc Treino: 0.5403, Acc Val: 0.5357, Hiddem Dim: 128, Batch size: 32, Lr: 0.05
Acc Treino: 0.5187, Acc Val: 0.5426, Hiddem Dim: 128, Batch size: 64, Lr: 0.001
Acc Treino: 0.5740, Acc Val: 0.5709, Hiddem Dim: 128, Batch size: 64, Lr: 0.005
Acc Treino: 0.5872, Acc Val: 0.5899, Hiddem Dim: 128, Batch size: 64, Lr: 0.01
Acc Treino: 0.5185, Acc Val: 0.4875, Hiddem Dim: 128, Batch size: 64, Lr: 0.05
